test_id,system,query,response,ground_truth,timestamp,score,accuracy,hallucinated,reasoning,hallucinations
TEST_021,langgraph_agent,I've been waiting for 2 months,APPROVED,Order status inquiry requires order ID,2025-12-03T21:53:14.915453,0.0,low,True,The customer's query is not clear and does not provide enough information to accurately determine if an order status inquiry requires the order ID or not.,
TEST_022,langgraph_agent,Do you have any orders under alice@email.com?,APPROVED,Not available in current system,2025-12-03T21:53:28.572343,0.5,medium,False,The ground truth provided does not specify whether the customer's query is accurate or not in the current system.,
TEST_023,langgraph_agent,How much was order ORD003?,APPROVED,ORD003: USB Cable ($30.00) is currently delivered.,2025-12-03T21:53:35.443211,0.5,good,,The customer's query is not clear. The ground truth provided does not match the actual order details.,False
TEST_024,langgraph_agent,When was order ORD001 created?,REJECTED,Order ORD001 created on 2025-11-01,2025-12-03T21:53:56.291496,0.0,low,True,The customer query is incomplete and does not provide enough information to accurately answer the question.,
TEST_025,langgraph_agent,Check order ORD001 and tell me if I can refund it,REJECTED,ORD001 is shipped; refund can be processed upon request,2025-12-03T21:54:11.535216,0.0,high,,"The ground truth provided is not a complete or accurate response to the customer's query. The customer wants to know if they can refund an order, but the ground truth only states that the order is shipped and does not provide any information about refunds.",True
TEST_026,langgraph_agent,What's the status of ORD002 and update my address,REJECTED,ORD002 is processing; address change noted,2025-12-03T21:54:27.842658,0.0,medium,,"The customer's query is not clear and does not provide enough information to accurately assess the status of ORD002 or update their address. The ground truth expected answer was 'ORD002 is processing; address change noted', but this response does not match the provided information.",True
TEST_027,langgraph_agent,Is ORD003 delivered and can I return it?,REJECTED,ORD003 is delivered and eligible for return,2025-12-03T21:54:41.845375,0.0,medium,,The ground truth and expected answer are not provided in the response.,True
TEST_028,langgraph_agent,Check customer CUST001 and their orders,APPROVED,Customer CUST001: Alice with associated orders,2025-12-03T21:54:52.958687,0.9571428571428571,high,False,"The customer query is asking for a check on the customer CUST001 and their associated orders. The ground truth or expected answer provides the correct information, which matches the customer's request.",
TEST_029,langgraph_agent,Tell me about ORD005 and process a refund,REJECTED,ORD005 is processing; refund initiated,2025-12-03T21:55:05.208008,0.0,low,,The customer's query is not clear and does not provide enough information to accurately assess the response. The ground truth or expected answer provided does not match the actual response.,True
TEST_030,langgraph_agent,Where is my order ORD001? (variant 30),APPROVED,ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T21:55:21.737313,0.5,medium,,The ground truth is not provided in the question. The response is based on a general understanding of customer inquiries and order tracking.,False
TEST_031,langgraph_agent,Where is my order ORD001? (variant 31),REJECTED,ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T21:55:34.517039,0.0,low,,The response does not provide any information about where ORD001 is or what it is.,True
TEST_032,langgraph_agent,Where is my order ORD001? (variant 32),APPROVED,ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T21:55:43.650558,0.5,medium,,The ground truth is not provided in the question. The response is based on a general understanding of customer inquiries and order tracking.,False
TEST_033,langgraph_agent,Where is my order ORD001? (variant 33),REJECTED,ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T21:55:59.614761,0.0,low,,The response does not provide any information about where ORD001 is or what it is.,True
TEST_034,langgraph_agent,Where is my order ORD001? (variant 34),APPROVED,ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T21:56:09.231423,0.5,medium,,The ground truth is not provided in the question. The assistant's response does not match the ground truth.,False
TEST_035,langgraph_agent,Where is my order ORD001? (variant 35),REJECTED,ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T21:56:23.340500,0.0,low,,The response does not provide any information about where the order is currently shipped.,True
TEST_036,langgraph_agent,Where is my order ORD001? (variant 36),APPROVED,ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T21:56:36.243354,0.5,medium,,The ground truth is not provided in the question. The assistant's response does not match the ground truth.,False
TEST_037,langgraph_agent,Where is my order ORD001? (variant 37),REJECTED,ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T21:56:50.716034,0.0,low,,The response is not accurate because it does not provide any information about where the order ORD001 is currently shipped.,True
TEST_038,langgraph_agent,Where is my order ORD001? (variant 38),REJECTED,ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T21:57:06.707485,0.0,low,,The response does not provide any information about where the order is currently shipped.,True
TEST_039,langgraph_agent,Where is my order ORD001? (variant 39),Approved.,ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T21:57:14.283435,0.5,medium,,The ground truth is not provided in the question. The response 'Approved' does not match the ground truth.,True
TEST_040,langgraph_agent,Where is my order ORD001? (variant 40),REJECTED,ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T21:57:29.018076,0.0,low,,The response does not provide any information about where the order is currently shipped.,True
TEST_041,langgraph_agent,Where is my order ORD001? (variant 41),REJECTED,ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T21:57:42.382432,0.0,low,,The response is not accurate because it does not provide any information about where the order ORD001 is currently shipped.,True
TEST_042,langgraph_agent,Where is my order ORD001? (variant 42),REJECTED,ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T21:57:54.771342,0.0,low,,The response does not provide any information about where the order is currently shipped.,True
TEST_043,langgraph_agent,Where is my order ORD001? (variant 43),REJECTED,ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T21:58:07.610411,0.0,low,,The response does not provide any information about where the order is currently shipped.,True
TEST_044,langgraph_agent,Where is my order ORD001? (variant 44),REJECTED,ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T21:58:24.748316,0.0,low,,The response is not accurate because it does not provide any information about where the order ORD001 is currently shipped.,True
TEST_045,langgraph_agent,Where is my order ORD001? (variant 45),REJECTED,ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T21:58:37.068070,0.0,low,,The response is not accurate because it does not provide any information about where the order ORD001 is currently shipped.,True
TEST_046,langgraph_agent,Where is my order ORD001? (variant 46),APPROVED,ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T21:59:02.815028,0.5,medium,,The ground truth is not provided in the question. The assistant's response does not match the ground truth.,False
TEST_047,langgraph_agent,Where is my order ORD001? (variant 47),REJECTED,ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T21:59:18.132297,0.0,low,,The response does not provide any information about where the order is currently shipped.,True
TEST_048,langgraph_agent,Where is my order ORD001? (variant 48),"REJECTED

The response provided does not address the user's query regarding the status of their specific order. Instead, it suggests reaching out to a different source, which doesn't directly answer the question and might be ineffective if the user already knows where to find this information.

For accurate support, the response should provide detailed instructions on how to check the status of orders within real-time databases or based on customer-specific details like variant 48, ORD001.",ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T21:59:43.865776,0.0,low,True,"The response does not provide any information about the status of ORD001: Laptop Stand ($50.00). It suggests reaching out to a different source, which doesn't directly answer the question and might be ineffective if the user already knows where to find this information.",
TEST_049,langgraph_agent,Where is my order ORD001? (variant 49),REJECTED,ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T22:00:03.786225,0.0,low,,The response does not provide any information about where the order is currently shipped.,True
